carretera,traffic_imd_total,traffic_imd_pesado,traffic_match_count,traffic_heavy_share
N-432,5073.243765374076,557.5683458992461,119.0,0.10990371677086834
N-432A,2124.0767696223434,197.3967806287405,42.0,0.0929329784364796
N-432R,8089.073697585769,918.443456162643,2.0,0.11354123976355386
N-433,4535.858664424358,554.1159694485319,20.0,0.12216341170296459
N-435,5159.639639639642,576.300509204857,35.0,0.11169394559599646
N-435A,4071.6683417085433,478.80008739348915,13.0,0.11759309629638849
N-437,12367.999999999998,361.00000000000006,2.0,0.02918822768434671
N-442,10038.518492672714,931.8820655966504,5.0,0.09283063693879201
N-444,15301.926056338027,1075.487676056338,2.0,0.07028446432799701
N-445,9056.903289473685,491.75263157894733,3.0,0.05429589075445721
N-446,12634.07201187825,741.3771343726801,4.0,0.058680774787072225
N-4A,15029.241038118409,3656.455636658556,7.0,0.24328944005786785
N-5,7723.925928878967,1016.6483017062668,26.0,0.13162325882814632
N-501,3721.750350070014,396.6186570647463,22.0,0.10656777584699764
N-501A,408.9271070615034,18.509111617312072,2.0,0.04526261844150201
N-502,2552.145491377519,235.38271348431329,58.0,0.09222934753506767
N-502A,3795.3464187327836,245.03236914600552,19.0,0.06456126585351822
N-521,3235.0258562943777,256.7685214129416,37.0,0.07937139695911488
N-523,6066.398783578306,848.2424733907753,13.0,0.1398263621717321
N-525,5497.789059572875,774.2693658673661,68.0,0.14083286162447262
N-532,6080.04884004884,1217.4053724053722,4.0,0.20022953835278615
N-536,1892.6088862323172,75.02610081689579,4.0,0.03964162979613441
N-540,4641.629767739186,496.03356062220325,17.0,0.10686624859005245
N-540A,4550.392097264437,581.5562310030394,2.0,0.12780354276561223
N-541,3496.015123342011,293.2463121358622,11.0,0.08388016120923807
N-542,26492.0,1000.0,1.0,0.037747244451155064
N-544,10176.443579766537,867.1381322957197,3.0,0.08521033163489648
N-547,4194.716787752985,386.43915412558385,11.0,0.09212520741658714
N-550,13647.068862128286,1124.5405259277463,46.0,0.08240161585528719
N-550A,8066.954270342972,580.8184263618024,9.0,0.07199971722873154
N-550R,7895.712871287129,621.0990099009902,2.0,0.07866281614160837
N-551,8320.2,152.7318181818182,4.0,0.018356748417323886
N-552,35912.809039548025,3056.4813559322038,5.0,0.08510838994984589
N-554,18317.008298755187,1134.51867219917,3.0,0.06193798974673562
N-555,6824.412413793103,616.6,2.0,0.09035210104737577
N-556,10698.0,943.0,1.0,0.08814731725556178
N-559,20334.934630350195,1977.3568093385215,2.0,0.09723939836950775
N-5A,4635.520041109969,188.6896197327852,4.0,0.04070516750211347
N-6,8809.695637703475,1326.3300028911647,114.0,0.15055344218871497
N-601,7809.8849699398825,947.4272180725088,46.0,0.12131128969493667
N-603,11707.448954656533,1470.5033939723057,10.0,0.12560408332059617
N-610,2300.1571102661596,865.9929531051964,16.0,0.3764929574767131
N-610A,3407.4674005080446,388.0228619813717,2.0,0.1138742697651395
N-611,5634.482816122343,473.26855655427664,45.0,0.08399503059980588
N-611A,6044.518814675447,1153.3066792097839,4.0,0.19080206623059526
N-620,3834.7579011163025,990.8443002091846,34.0,0.258385099075159
N-620A,9682.200948116935,2239.2786410323943,13.0,0.2312778523221939
N-621,1728.5634920634923,88.01669403393542,17.0,0.05091898240247137
N-622,2866.9493745113373,574.9272869429242,12.0,0.2005362536410043
N-622A,129.0,10.0,1.0,0.07751937984496124
N-623,4989.293066614878,515.9618372499515,37.0,0.10341381641868953
N-625,2355.477954144621,158.32973816307148,14.0,0.0672176692991245
N-627,3486.3475305216434,818.9059378468369,15.0,0.23488935933025254
N-629,4165.579706519928,338.016508254127,19.0,0.08114513034645973
N-630,6626.580180938398,893.8452422320827,171.0,0.1348878633964562
N-630A,5099.290482699086,656.1962448744695,9.0,0.12868383299614278
N-631,4069.1875081496937,772.1018385708699,7.0,0.18974348983046826
N-632,7437.315858947765,555.8596077691873,27.0,0.074739276684133
N-632A,4650.364302075381,450.0605608384813,13.0,0.09677963522935756
N-633,19495.247252747256,846.8983516483516,4.0,0.04344127266859913
N-634,7019.54974571214,707.3528411064565,111.0,0.10076897617807178
N-634A,2706.669706042461,508.7848394120849,6.0,0.18797448328337088
N-634R,25298.101694915254,1158.084161309176,4.0,0.04577751229223428
N-635,10968.768101761254,857.9696673189826,3.0,0.078219327764001
N-636,44725.71582346608,2899.1388589881594,3.0,0.06482040154329019
N-640,5698.4944967074325,543.974082784572,40.0,0.09545926263487278
N-640A,12362.683417085425,1153.9447236180904,3.0,0.09334095881023051
N-641,21747.495260663505,1258.355450236967,2.0,0.05786208642211127
N-642,6384.495778971604,515.6795088257867,13.0,0.08077059280456614
N-643,16511.07771260997,1187.2639296187683,3.0,0.0719071129264943
N-651,14147.249451846854,739.4908078934052,14.0,0.052270995178986424
N-655,3899.9912280701756,259.9122807017544,4.0,0.06664432443617732
N-6A,1623.6735246345422,133.47617758527338,7.0,0.0822062905874605
O-11,46072.041758241765,2573.136263736264,2.0,0.05585027633979254
O-12,9262.0,371.0,1.0,0.04005614338155906
O-14,33500.26181818182,2425.0836363636367,2.0,0.0723899905476994
OU-11,19347.710280373834,2747.1495327102803,2.0,0.14198835381037142
P-11,22448.54002254791,1393.9650507328072,2.0,0.06209602269602708
P-12,7966.795074758135,734.1917326297274,5.0,0.0921564726769399
PO-10,25918.8605015674,1744.9263322884015,3.0,0.06732264839277483
PO-11,21047.448484848486,1451.0727272727272,3.0,0.0689429280854312
PO-12,13237.000000000002,1916.0,1.0,0.14474578832061644
PT-10,6180.727459016393,318.2377049180328,2.0,0.05148871342867421
R-2,14982.203532277708,2043.3545676004871,17.0,0.13638544979036477
R-3,34259.64120625138,2726.5564604886636,11.0,0.07958508508814001
R-4,18073.38119820677,3548.8528732509176,13.0,0.19635799379935795
R-5,24501.530129482075,1349.0027390438245,12.0,0.055057897686993984
RM-15,65675.0,9294.0,1.0,0.1415150361629235
S-10,41760.38480238938,2667.843995276793,12.0,0.06388456447183286
S-20,27619.538659793816,597.4639175257731,2.0,0.02163192965983572
S-21,11766.0,461.0,1.0,0.03918069012408635
S-30,20855.044480401546,1319.754449691246,10.0,0.0632822649182782
SA-11,11603.999999999998,503.9999999999999,3.0,0.043433298862461216
SA-20,17046.807787903897,2318.4192212096104,5.0,0.13600313032535735
SC-11,19965.619433198382,464.15789473684214,2.0,0.02324785846438858
SC-20,49249.29893924783,1666.0945033751204,8.0,0.03382981157620853
SC-21,7351.0,664.0,1.0,0.0903278465514896
SE-20,37562.33107599699,2268.790820165538,4.0,0.06040069279979635
SE-30,86154.6007081858,6808.859820870652,17.0,0.07903071646670312
SE-31,85652.3076923077,8048.51282051282,2.0,0.09396726179784698
SE-40,22590.8735725938,2135.5638254486134,10.0,0.09453214894882953
SG-20,9038.60027638625,830.6336154776301,9.0,0.09189847875535527
SO-20,8008.645219174569,1220.8067162266084,12.0,0.15243610908168484
T-11,35481.71866096866,3280.7524928774915,14.0,0.09246317869281945
TO-20,43739.141914191416,2435.864686468647,2.0,0.05569072871268004
TO-21,10868.427122940431,883.2539079002958,3.0,0.08126786865377933
TO-22,4769.539448364336,240.0942912123156,4.0,0.050339093283871136
TO-23,57925.722891566256,3069.469879518072,4.0,0.05298975526406376
V-11,58773.53846153846,8249.461538461539,2.0,0.1403601306710503
V-21,63926.735620052765,3235.979419525065,5.0,0.050620126119970243
V-23,29542.69178082192,3034.1691253951526,10.0,0.10270455880952693
V-30,97520.59293804131,12268.618254497003,13.0,0.12580541078428165
V-31,96827.93067461796,7869.96571002609,11.0,0.0812778467451963
V-31R,57242.69268292683,10182.292195121952,3.0,0.17787933652112975
VA-11,24681.085152838426,1708.635371179039,5.0,0.06922853515549493
VA-20,29041.140342530918,2728.0599429115123,10.0,0.09393776934152454
VA-30,27745.100052461967,2637.503559919059,9.0,0.0950619588659591
VG-20,28554.773885350318,1313.2324840764331,3.0,0.045989945126134274
Z-40,36615.89349610608,3291.3613976005045,12.0,0.08988887292755875
ZA-11,10796.0,466.0,1.0,0.043164134864764725
ZA-12,8653.669144981412,457.34200743494426,2.0,0.05284949075042626
ZA-13,8113.0,297.0,2.0,0.03660791322568717
ZA-20,15841.993569131833,555.379421221865,6.0,0.03505741993886573
