municipality_code,municipality_name,population_year,municipal_population
05172,Niharra,2025,192.0
05173,Ojos-Albos,2025,91.0
05174,Orbita,2025,72.0
05175,"Oso, El",2025,125.0
05176,Padiernos,2025,278.0
05177,Pajares de Adaja,2025,130.0
05178,Palacios de Goda,2025,400.0
05179,Papatrigo,2025,221.0
05180,"Parral, El",2025,65.0
05181,Pascualcobo,2025,38.0
05182,Pedro Bernardo,2025,772.0
05183,Pedro-Rodríguez,2025,130.0
05184,Peguerinos,2025,284.0
05185,Peñalba de Ávila,2025,104.0
05186,Piedrahíta,2025,1655.0
05187,Piedralaves,2025,2204.0
05188,Poveda,2025,30.0
05189,Poyales del Hoyo,2025,499.0
05190,Pozanco,2025,57.0
05191,Pradosegar,2025,107.0
05192,Puerto Castilla,2025,99.0
05193,Rasueros,2025,151.0
05194,Riocabado,2025,130.0
05195,Riofrío,2025,191.0
05196,Rivilla de Barajas,2025,59.0
05197,Salobral,2025,111.0
05198,Salvadiós,2025,65.0
05199,San Bartolomé de Béjar,2025,44.0
05200,San Bartolomé de Corneja,2025,32.0
05201,San Bartolomé de Pinares,2025,481.0
05204,Sanchidrián,2025,722.0
05205,Sanchorreja,2025,79.0
05206,San Esteban de los Patos,2025,23.0
05207,San Esteban del Valle,2025,736.0
05208,San Esteban de Zapardiel,2025,40.0
05209,San García de Ingelmos,2025,64.0
05210,San Juan de la Encinilla,2025,69.0
05211,San Juan de la Nava,2025,423.0
05212,San Juan del Molinillo,2025,239.0
05213,San Juan del Olmo,2025,76.0
05214,San Lorenzo de Tormes,2025,31.0
05215,San Martín de la Vega del Alberche,2025,164.0
05216,San Martín del Pimpollar,2025,221.0
05217,San Miguel de Corneja,2025,68.0
05218,San Miguel de Serrezuela,2025,105.0
05219,San Pascual,2025,44.0
05220,San Pedro del Arroyo,2025,514.0
05221,Santa Cruz del Valle,2025,295.0
05222,Santa Cruz de Pinares,2025,170.0
05224,Santa María del Arroyo,2025,103.0
05225,Santa María del Berrocal,2025,372.0
05226,Santa María de los Caballeros,2025,54.0
05227,Santa María del Tiétar,2025,579.0
05228,Santiago del Collado,2025,164.0
05229,Santo Domingo de las Posadas,2025,71.0
05230,Santo Tomé de Zabarcos,2025,75.0
05231,San Vicente de Arévalo,2025,171.0
05232,"Serrada, La",2025,133.0
05233,Serranillos,2025,237.0
05234,Sigeres,2025,43.0
05235,Sinlabajos,2025,134.0
05236,Solana de Ávila,2025,97.0
05237,Solana de Rioalmar,2025,142.0
05238,Solosancho,2025,751.0
05239,Sotalbo,2025,239.0
05240,Sotillo de la Adrada,2025,5046.0
05241,"Tiemblo, El",2025,4608.0
05242,Tiñosillos,2025,733.0
05243,Tolbaños,2025,88.0
05244,Tormellas,2025,35.0
05245,Tornadizos de Ávila,2025,466.0
05246,Tórtoles,2025,38.0
05247,"Torre, La",2025,213.0
05249,Umbrías,2025,103.0
05251,Vadillo de la Sierra,2025,50.0
05252,Valdecasa,2025,54.0
05253,Vega de Santa María,2025,86.0
05254,Velayos,2025,204.0
05256,Villaflor,2025,101.0
05257,Villafranca de la Sierra,2025,130.0
05258,Villanueva de Gómez,2025,119.0
05259,Villanueva del Aceral,2025,86.0
05260,Villanueva del Campillo,2025,107.0
05261,Villar de Corneja,2025,31.0
05262,Villarejo del Valle,2025,304.0
05263,Villatoro,2025,153.0
05264,Viñegra de Moraña,2025,53.0
05265,Vita,2025,78.0
05266,Zapardiel de la Cañada,2025,83.0
05267,Zapardiel de la Ribera,2025,90.0
05901,San Juan de Gredos,2025,219.0
05902,Santa María del Cubillo,2025,309.0
05903,Diego del Carpio,2025,107.0
05904,Santiago del Tormes,2025,104.0
05905,Villanueva de Ávila,2025,202.0
06001,Acedera,2025,816.0
06002,Aceuchal,2025,5312.0
06003,Ahillones,2025,792.0
